=== Suspicious Traffic Analysis Report ===

File analyzed: suspicious_traffic.pcapng
Total HTTP requests: 228

[Suspicious] Frame 596 | IP 10.12.61.116 | URI: /login_attempt1
[Suspicious] Frame 606 | IP 10.12.61.116 | URI: /login_attempt2
[Suspicious] Frame 616 | IP 10.12.61.116 | URI: /login_attempt3
[Suspicious] Frame 626 | IP 10.12.61.116 | URI: /login_attempt4
[Suspicious] Frame 636 | IP 10.12.61.116 | URI: /login_attempt5
[Suspicious] Frame 646 | IP 10.12.61.116 | URI: /login_attempt6
[Suspicious] Frame 656 | IP 10.12.61.116 | URI: /login_attempt7
[Suspicious] Frame 666 | IP 10.12.61.116 | URI: /login_attempt8
[Suspicious] Frame 676 | IP 10.12.61.116 | URI: /login_attempt9
[Suspicious] Frame 686 | IP 10.12.61.116 | URI: /login_attempt10
[Suspicious] Frame 696 | IP 10.12.61.116 | URI: /login_attempt11
[Suspicious] Frame 706 | IP 10.12.61.116 | URI: /login_attempt12
[Suspicious] Frame 717 | IP 10.12.61.116 | URI: /login_attempt13
[Suspicious] Frame 727 | IP 10.12.61.116 | URI: /login_attempt14
[Suspicious] Frame 738 | IP 10.12.61.116 | URI: /login_attempt15
[Suspicious] Frame 748 | IP 10.12.61.116 | URI: /login_attempt16
[Suspicious] Frame 758 | IP 10.12.61.116 | URI: /login_attempt17
[Suspicious] Frame 769 | IP 10.12.61.116 | URI: /login_attempt18
[Suspicious] Frame 779 | IP 10.12.61.116 | URI: /login_attempt19
[Suspicious] Frame 789 | IP 10.12.61.116 | URI: /login_attempt20
[Suspicious] Frame 816 | IP 10.12.61.116 | URI: /login_attempt1
[Suspicious] Frame 826 | IP 10.12.61.116 | URI: /login_attempt2
[Suspicious] Frame 836 | IP 10.12.61.116 | URI: /login_attempt3
[Suspicious] Frame 846 | IP 10.12.61.116 | URI: /login_attempt4
[Suspicious] Frame 858 | IP 10.12.61.116 | URI: /login_attempt5
[Suspicious] Frame 871 | IP 10.12.61.116 | URI: /login_attempt6
[Suspicious] Frame 881 | IP 10.12.61.116 | URI: /login_attempt7
[Suspicious] Frame 893 | IP 10.12.61.116 | URI: /login_attempt8
[Suspicious] Frame 903 | IP 10.12.61.116 | URI: /login_attempt9
[Suspicious] Frame 915 | IP 10.12.61.116 | URI: /login_attempt10
[Suspicious] Frame 925 | IP 10.12.61.116 | URI: /login_attempt11
[Suspicious] Frame 936 | IP 10.12.61.116 | URI: /login_attempt12
[Suspicious] Frame 947 | IP 10.12.61.116 | URI: /login_attempt13
[Suspicious] Frame 957 | IP 10.12.61.116 | URI: /login_attempt14
[Suspicious] Frame 969 | IP 10.12.61.116 | URI: /login_attempt15
